,상품이름,무게,칼로리,지방,탄수화물,단백질
76,토핑2배 김치제육,1개 (110g)당,182kcal,2.40g,35.00g,5.00g
77,생강꿀차,1인분 (45g)당,140kcal,0.00g,35.00g,0.00g
78,안동식 찜닭 정식,1인분 (465g)당,871kcal,19.00g,127.00g,48.00g
79,새우 계란찜,100g당,60kcal,3.30g,1.00g,7.00g
80,대파제육김밥,1개 (236g)당,382kcal,6.00g,69.00g,13.00g
81,고기듬뿍 김치제육,1개 (355g)당,596kcal,12.00g,95.00g,27.00g
82,주먹왕 참치마요&김치볶음밥,1인분 (240g)당,445kcal,17.00g,62.00g,11.00g
83,사천왕 마라탕면 큰컵,100g당,440kcal,18.00g,65.00g,4.00g
84,소불고기덮밥,1회 (330g)당,415kcal,3.00g,85.00g,12.00g
85,불곱창 짜글이,1인분 (320g)당,370kcal,10.00g,55.00g,15.00g
86,카라멜맛팝콘,1봉지 (60g)당,270kcal,10.00g,45.00g,4.00g
87,카프레제 샌드위치,1인분 (150g)당,295kcal,11.00g,39.00g,10.00g
88,에그베네딕트샌드위치,1인분 (150g)당,288kcal,12.00g,32.00g,13.00g
89,베이컨에그샌드위치,1인분 (131g)당,306kcal,14.00g,36.00g,9.00g
90,명란계란찜,100g당,62kcal,3.50g,2.00g,6.00g
91,에그가 먼저닭 미니샐러드,1인분 (137g)당,156kcal,12.00g,5.00g,7.00g
92,돈까스김밥,1인분 (252g)당,477kcal,17.00g,68.00g,13.00g
93,백종원 매콤 돈까스정식,1회 (580g)당,1130kcal,54.00g,135.00g,26.00g
94,소불고기치즈김밥,1호 (248g)당,373kcal,9.00g,58.00g,15.00g
95,벌교 꼬막 비빔밥,1회 (300g)당,426kcal,6.00g,80.00g,13.00g
96,고소한 참치마요 김밥,1줄 (175g)당,289kcal,8.00g,46.00g,8.00g
97,콘치즈그라탕,1인분 (220g)당,425kcal,28.00g,34.00g,9.00g
98,매운 불껍데기,100g당,255kcal,10.00g,19.00g,21.00g
99,쫀득롤케익 플레인,1인분 (140g)당,465kcal,25.00g,52.00g,8.00g
100,길거리 토스트,1인분 (210g)당,454kcal,14.00g,63.00g,19.00g
101,반숙계란 버터간장밥 삼각김밥,1인분 (110g)당,179kcal,2.60g,34.00g,5.00g
102,고기만두 호빵,1회 (110g)당,330kcal,12.00g,43.00g,13.00g
103,참치불고기반반김밥,1줄 (205g)당,343kcal,7.00g,58.00g,12.00g
104,직화불고기 참피온,1인분 (427g)당,858kcal,30.00g,110.00g,37.00g
105,제육볶음 삼각김밥,100g당,163kcal,1.60g,23.00g,14.00g
106,참치김치삼각김밥,1회 (105g)당,180kcal,5.00g,30.00g,4.00g
107,토핑2배 참치김볶,1회 (110g)당,223kcal,7.00g,34.00g,6.00g
108,토핑 3배 참치마요,1인분 (157g)당,278kcal,6.00g,48.00g,8.00g
109,훈제메추리알,1인분 (15g)당,40kcal,2.50g,2.00g,2.00g
110,크림 가득 빅슈,1회 (130g)당,355kcal,22.00g,30.00g,9.00g
111,훈제연어크랩롤,100g당,361kcal,9.00g,62.00g,8.00g
112,야채칩,1봉지 (28g)당,155kcal,9.00g,17.00g,1.00g
113,통통하게,1인분 (80g)당,75kcal,0.00g,10.00g,9.00g
114,스팸컵밥,1회 (170g)당,355kcal,11.00g,56.00g,8.00g
115,참치마요&햄김치볶음밥,1인분 (202g)당,325kcal,4.50g,63.00g,8.00g
116,단짠삼겹볶음 삼각김밥,1 인분 (152g)당,292kcal,8.00g,46.00g,9.00g
117,계란참치마요 김밥,1인분 (232g)당,488kcal,20.00g,61.00g,16.00g
118,저지방우유,1회 (300ml)당,120kcal,3.00g,14.00g,9.00g
119,치즈닭갈비김밥,1회 (200g)당,368kcal,8.00g,60.00g,14.00g
120,리챔통햄김볶,1개 (104g)당,168kcal,2.70g,30.00g,6.00g
121,베트남식 반미 샌드위치,1개 (122g)당,262kcal,6.00g,37.00g,15.00g
122,딸기마카롱,1회 (45g)당,190kcal,7.00g,28.00g,3.00g
123,마늘바게트,1/4봉지 (30g)당,140kcal,4.50g,20.00g,3.00g
124,복돼지면,1인분 (169g)당,641kcal,25.00g,85.00g,19.00g
125,카라멜맛 팝콘,1회 (30g)당,144kcal,6.00g,22.00g,2.00g
126,달고나 라떼,1개 (250ml)당,190kcal,3.60g,35.00g,4.60g
127,가쓰오 올린 계란말이,100g당,120kcal,7.00g,8.00g,8.00g
128,대파제육정식,1인분 (419g)당,730kcal,22.00g,101.00g,32.00g
129,마성의 돈까스,1인분 (460g)당,1076kcal,44.00g,136.00g,34.00g
130,칠리치킨샌드위치,1개 (185g)당,311kcal,7.00g,49.00g,13.00g
131,청포도라임 에이드,1회 (230ml)당,90kcal,0.00g,20.00g,2.00g
132,삼겹살구이정식,1개 (435g)당,762kcal,30.00g,96.00g,27.00g
133,Ham&Egg 햄에그샌드위치,1회 (210g)당,388kcal,16.00g,49.00g,12.00g
134,광양식불고기,1인분 (106g)당,181kcal,2.30g,35.00g,5.00g
135,유산슬덮밥,1인분 (420g)당,486kcal,6.00g,93.00g,15.00g
136,매콤햄김치볶음밥 삼각김밥,100g당,189kcal,5.00g,32.00g,4.00g
137,프레첼&카라멜팝콘,1봉지 (75g)당,340kcal,11.00g,57.00g,3.00g
138,갈릭버터 오징어,100g당,120kcal,2.90g,9.00g,15.00g
139,치즈에그 샌드위치,1개 (200g)당,489kcal,29.00g,38.00g,19.00g
140,짬뽕밥,1개 (300g)당,415kcal,7.00g,77.00g,11.00g
141,우유,1컵 (200ml)당,130kcal,8.00g,9.00g,6.00g
142,장충동 부드러운 순살 족발,1회 (150g)당,381kcal,21.00g,0.00g,48.00g
143,어묵반반 김밥,1인분 (230g)당,391kcal,7.00g,71.00g,11.00g
144,참치김치 삼각김밥,1회 (95g)당,146kcal,1.60g,30.00g,3.00g
145,에그타르트 오리지날,1인분 (60g)당,171kcal,7.00g,24.00g,3.00g
146,햄샌드위치,1인분 (136g)당,305kcal,13.00g,38.00g,9.00g
147,소금커피,1인분 (300ml)당,135kcal,3.60g,24.30g,1.20g
148,간장불고기,1회 (385g)당,573kcal,17.00g,85.00g,20.00g
149,뚱한치즈메가돈's바,100g당,268kcal,22.29g,2.81g,13.91g
150,새우버거,1인분 (145g)당,372kcal,16.00g,47.00g,10.00g
151,맘모스빵,1회 (113g)당,415kcal,11.00g,71.00g,8.00g
152,생연어초밥,1인분 (155g)당,199kcal,7.00g,22.00g,12.00g
153,닭갈비 철판볶음밥,1인분 (270g)당,485kcal,9.00g,91.00g,10.00g
154,오늘은 치킨이닭 도시락,1인분 (432g)당,913kcal,33.00g,122.00g,32.00g
155,카페라떼,1컵 (300ml)당,190kcal,7.00g,25.00g,6.00g
156,통 고기산적,1개 (105g)당,209kcal,4.50g,36.00g,6.00g
157,자이언트 핫도그,1호 (130g)당,360kcal,14.00g,45.00g,13.00g
158,베이컨 참치마요 삼각김밥,100g당,201kcal,5.00g,34.00g,5.00g
159,대왕돈까스,1개 (505g)당,1375kcal,67.00g,157.00g,36.00g
